id,name,category,hint_url
1,Salesforce,CRM and Sales,https://developer.salesforce.com/docs
2,HubSpot,CRM and Sales,https://developers.hubspot.com/docs/api/overview
3,Pipedrive,CRM and Sales,https://developers.pipedrive.com/docs/api/v1
4,Attio,CRM and Sales,https://docs.attio.com/rest-api
5,Twenty,CRM and Sales,https://docs.twenty.com/developers
6,Podio,CRM and Sales,https://developers.podio.com/
7,Zoho CRM,CRM and Sales,https://www.zoho.com/crm/developer/docs/api/
8,Close,CRM and Sales,https://developer.close.com/
9,Copper,CRM and Sales,https://developer.copper.com/
10,DealCloud,CRM and Sales,https://api.docs.dealcloud.com/
11,Zendesk,Support and Helpdesk,https://developer.zendesk.com/api-reference/
12,Intercom,Support and Helpdesk,https://developers.intercom.com/docs
13,Freshdesk,Support and Helpdesk,https://developers.freshdesk.com/api/
14,Front,Support and Helpdesk,https://dev.frontapp.com/
15,Pylon,Support and Helpdesk,https://docs.usepylon.com/
16,LiveAgent,Support and Helpdesk,https://developer.ladesk.com/
17,Plain,Support and Helpdesk,https://www.plain.com/docs/api
18,Help Scout,Support and Helpdesk,https://developer.helpscout.com/
19,Gorgias,Support and Helpdesk,https://developers.gorgias.com/
20,Gladly,Support and Helpdesk,https://developer.gladly.com/
21,Slack,Communications and Messaging,https://api.slack.com/
22,Twilio,Communications and Messaging,https://www.twilio.com/docs
23,Zoho Cliq,Communications and Messaging,https://www.zoho.com/cliq/help/restapi/
24,Lark (LarkSuite),Communications and Messaging,https://open.larksuite.com/document/
25,Pumble,Communications and Messaging,https://pumble.com/
26,Discord,Communications and Messaging,https://discord.com/developers/docs
27,Telegram,Communications and Messaging,https://core.telegram.org/bots/api
28,WhatsApp Business,Communications and Messaging,https://developers.facebook.com/docs/whatsapp
29,Aircall,Communications and Messaging,https://developer.aircall.io/
30,Vonage,Communications and Messaging,https://developer.vonage.com/
31,Google Ads,Marketing Ads Email and Social,https://developers.google.com/google-ads/api/docs/start
32,Meta Ads,Marketing Ads Email and Social,https://developers.facebook.com/docs/marketing-apis
33,LinkedIn Ads,Marketing Ads Email and Social,https://learn.microsoft.com/linkedin/marketing/
34,GoHighLevel,Marketing Ads Email and Social,https://highlevel.stoplight.io/docs/integrations/
35,Mailchimp,Marketing Ads Email and Social,https://mailchimp.com/developer/marketing/docs/fundamentals/
36,Klaviyo,Marketing Ads Email and Social,https://developers.klaviyo.com/en/docs
37,systeme.io,Marketing Ads Email and Social,https://systeme.io/
38,Pinterest,Marketing Ads Email and Social,https://developers.pinterest.com/docs/api/v5/
39,Threads (Meta),Marketing Ads Email and Social,https://developers.facebook.com/docs/threads
40,SendGrid,Marketing Ads Email and Social,https://www.twilio.com/docs/sendgrid/api-reference
41,Shopify,Ecommerce,https://shopify.dev/docs/api
42,WooCommerce,Ecommerce,https://woocommerce.com/document/woocommerce-rest-api/
43,BigCommerce,Ecommerce,https://developer.bigcommerce.com/docs/rest-management
44,Salesforce Commerce Cloud,Ecommerce,https://developer.salesforce.com/docs/commerce
45,Magento (Adobe Commerce),Ecommerce,https://developer.adobe.com/commerce/webapi/rest/
46,Squarespace,Ecommerce,https://developers.squarespace.com/
47,Ecwid,Ecommerce,https://api-docs.ecwid.com/
48,Gumroad,Ecommerce,https://gumroad.com/api
49,Amazon Selling Partner,Ecommerce,https://developer-docs.amazon.com/sp-api/
50,fanbasis,Ecommerce,https://www.fanbasis.com/
51,DataForSEO,Data SEO and Scraping,https://docs.dataforseo.com/v3/
52,SE Ranking,Data SEO and Scraping,https://seranking.com/api.html
53,Ahrefs,Data SEO and Scraping,https://ahrefs.com/api
54,MrScraper,Data SEO and Scraping,https://docs.mrscraper.com/
55,Apify,Data SEO and Scraping,https://docs.apify.com/api/v2
56,Firecrawl,Data SEO and Scraping,https://docs.firecrawl.dev/
57,Bright Data,Data SEO and Scraping,https://docs.brightdata.com/
58,Sherlock,Data SEO and Scraping,https://github.com/sherlock-project/sherlock
59,Waterfall.io,Data SEO and Scraping,https://waterfall.io/
60,Clay,Data SEO and Scraping,https://www.clay.com/
61,GitHub,Developer Infra and Data Platforms,https://docs.github.com/rest
62,Vercel,Developer Infra and Data Platforms,https://vercel.com/docs/rest-api
63,Netlify,Developer Infra and Data Platforms,https://docs.netlify.com/api/latest/
64,Cloudflare,Developer Infra and Data Platforms,https://developers.cloudflare.com/api/
65,Supabase,Developer Infra and Data Platforms,https://supabase.com/docs/reference/api
66,Neo4j,Developer Infra and Data Platforms,https://neo4j.com/docs/
67,Snowflake,Developer Infra and Data Platforms,https://docs.snowflake.com/en/developer-guide/snowflake-rest-api
68,MongoDB Atlas,Developer Infra and Data Platforms,https://www.mongodb.com/docs/atlas/reference/api-resources-spec/
69,Datadog,Developer Infra and Data Platforms,https://docs.datadoghq.com/api/latest/
70,Sentry,Developer Infra and Data Platforms,https://docs.sentry.io/api/
71,Notion,Productivity and Project Management,https://developers.notion.com/reference
72,Airtable,Productivity and Project Management,https://airtable.com/developers/web/api/introduction
73,Linear,Productivity and Project Management,https://linear.app/developers/graphql
74,Jira,Productivity and Project Management,https://developer.atlassian.com/cloud/jira/platform/rest/v3/
75,Asana,Productivity and Project Management,https://developers.asana.com/reference
76,Monday.com,Productivity and Project Management,https://developer.monday.com/api-reference/docs
77,ClickUp,Productivity and Project Management,https://clickup.com/api
78,Coda,Productivity and Project Management,https://coda.io/developers/apis/v1
79,Smartsheet,Productivity and Project Management,https://developers.smartsheet.com/api/smartsheet/openapi
80,Harvest,Productivity and Project Management,https://help.getharvest.com/api-v2/
81,Stripe,Finance and Fintech,https://docs.stripe.com/api
82,Plaid,Finance and Fintech,https://plaid.com/docs/
83,Binance,Finance and Fintech,https://developers.binance.com/docs/
84,Paygent Connect,Finance and Fintech,https://www.paygent.co.jp/
85,iPayX,Finance and Fintech,https://ipayx.ai/docs
86,QuickBooks,Finance and Fintech,https://developer.intuit.com/app/developer/qbo/docs/api/accounting/all-entities/account
87,Xero,Finance and Fintech,https://developer.xero.com/documentation/api/accounting/overview/
88,Brex,Finance and Fintech,https://developer.brex.com/
89,Ramp,Finance and Fintech,https://docs.ramp.com/
90,PitchBook,Finance and Fintech,https://pitchbook.com/
91,NotebookLM,AI Research and Media-native,https://cloud.google.com/gemini/enterprise
92,Otter AI,AI Research and Media-native,https://help.otter.ai/
93,Fathom,AI Research and Media-native,https://fathom.video/
94,Consensus,AI Research and Media-native,https://consensus.app/
95,Reducto,AI Research and Media-native,https://docs.reducto.ai/
96,Devin,AI Research and Media-native,https://docs.devin.ai/
97,higgsfield,AI Research and Media-native,https://higgsfield.ai/cli
98,Mermaid CLI,AI Research and Media-native,https://github.com/mermaid-js/mermaid-cli
99,YouTube Transcript,AI Research and Media-native,https://transcriptapi.com/
100,Grain,AI Research and Media-native,https://grain.com/
